Department,Semester,Course Code,Course Name,L,T,P,S,C,Faculty,Schedule
CSE,2,CS162,Optimization,3,1,0,0,2,Dr. Dibyajyothi,Yes
CSE,2,CS163,Data Structures & Algorithms,3,0,2,0,4,Prof. CB Akki/Dr. Suvadip Hazra,Yes
CSE,2,CS164,Computer Architecture,3,0,2,0,2,Dr. Prabhu Prasad/Prof. CB Akki,Yes
CSE,2,CS165,Mathematical foundations of Computing,3,0,0,0,3,Dr. Animesh Roy,Yes
CSE,2,B0-HS204 ,Economics ,2,1,0,2,3,Dr. Anusree Kini,Yes
CSE,2,B0-HS153, Innovation and Entrepreneurship ,2,1,0,2,3,Dr. Deepak KT,Yes
CSE,2,B1-ASD151,Introduction to Design,1,0,0,1,0,Dr. Sandesh P,Yes
CSE,2,B1-HS151,Introduction to Personal Finance,2,0,0,2,0,Dr. Siddharth,Yes
CSE,2,B1-IOT101,Introduction to Internet of Things,2,0,0,2,0,Dr Jagadeesha Bhat,Yes
CSE,2,B2-CC101,Concurrency and Computation,2,0,0,2,0,Dr. Pramod Yelmewad,Yes
CSE,2,B2-CISM101,Computer Intensive Statistical Methods,2,0,0,2,0,Dr Ramesh Athe,Yes
CSE,2,B2-IIP101,Industry Insights Program Part 1,1,0,0,1,0,Mr. Ram Subramanian & Mr. Sasi Kumar Sundara Rajan,Yes
CSE,4,MA202,Linear Algebra,3,1,0,0,4,Dr. Anand Barangi,Yes
CSE,4,CS206,Theory of Computing,3,1,0,0,4,Dr. Pavan/Dr. Sunil C K,Yes
CSE,4,CS204,Operating Systems,3,0,2,0,4,Dr. Suvadip Hazra/Dr. Malay and Dr. Dibyajyothi,Yes
CSE,4,CS301,Software Engineering,3,1,0,0,4,Dr. Vivekraj/Dr. Sunil Kumar P V,Yes
CSE,4,CS310,Database Management Systems,3,1,2,0,5,Dr. Pramod Yelmewad/Dr. Abdul Wahid,Yes
CSE,4,HS205,Ethics,3,0,0,0,3,"Dr. Jolly Thomas, IIT Dharwad",Yes
CSE,6,CS307,Machine Learning,3,0,2,0,4,Dr. Girish GN/Dr. Krishnendu Ghosh,Yes
CSE,6,B1-CS471,Deep Learning for Computer Vision,3,1,0,0,4,Chinmayanand,Yes
CSE,6,B1-abc001,Large Languange Models,3,1,0,0,4,Dr. Sunil S,
CSE,6,B1-abc002,Natural Language Processing,3,1,0,0,4,Dr. Krishnendu,
CSE,6,B1-abc003,Deep Speech Processing,3,0,0,4,4,Prof. SRM Prasanna,
