Department,Semester,Course Code,Course Name,L,T,P,S,C,Faculty
CSE,2,CS162,Optimization,3.0,1,0,0,2,Dr. Dibyajyothi
CSE,2,CS164,Data Structures & Algorithms,3.0,0,2,0,4,Prof. CB Akki
CSE,2,CS163,Computer Architecture,3.0,1,0,0,2,Dr. Prabhu Prasad
CSE,2,CS165,Mathematical foundations of Computing,2.0,0,2,0,3,Dr. Animesh Roy
CSE,2,HS204 / HS153,Economics (HSS / I&E),3.0,0,0,0,3,Dr. Anusree Kini
CSE,2,B1,Introduction to Design/Introduction to Personal Finance/Introduction to Internet of Things,3.0,1,0,0,2,Dr. Sandesh P/Dr. Siddharth/Dr Jagadeesha Bhat
CSE,2,B2,Concurrency and Computation/Computer Intensive Statistical Methods/Industry Insights Program Part 1,3.0,1,0,0,2,Dr. Pramod Yelmewad/Dr Ramesh Athe/Mr. Ram Subramanian & Mr. Sasi Kumar Sundara Rajan
CSE,4,MA202,Linear Algebra,3.0,1,0,0,4,Dr. Anand Barangi
CSE,4,CS206,Theory of Computing,3.0,1,0,0,4,Dr. Pavan
CSE,4,CS204,Operating Systems,3.0,0,2,0,4,Dr. Suvadeep
CSE,4,CS301,Software Engineering,3.0,1,0,0,4,Dr. Vivekraj
CSE,4,CS310,Database Management Systems,3.0,1,2,0,5,Dr. Pramod Yelmewad/Dr. Abdul Wahid
CSE,4,HS205,Ethics,3.0,0,0,0,3,"Dr. Jolly Thomas, IIT Dharwad"
CSE,6,CS307,Machine Learning,3.0,0,2,0,4,Dr. Girish GN
CSE,6,B1,Deep Learning for Computer Vision/Large Languange Models/Natural Language Processing/Deep Speech Processing/CMOS RF Circuit Design,3.0,1,0,0,4,Chinmayanand/Dr. Sunil S/Dr. Krishnendu/Dr. Pankaj Kumar and Dr. Rajesh Kumar/Prof. SRM Prasanna
CSE,6,B2,Blockchain Technology/Introduction to 5G Network/Model Checking/Quantum Communication/Quantum HPC and AI/Design Thinking and Innovation,3.0,1,0,0,4,Dr. Rajendra H/Dr. Jagadeesha R Bhat/Dr. Pavan/Dr. Aswath B/Dr. Manish M (Dr. Aswath)/Dr. Sandesh P
CSE,6,B3,Automotive Embedded and Multimedia Systems/Microwave Engineering/Computer Graphics/Machine learning/Virtualization and Cloud Computing,3.0,1,0,0,4,Mr. Jagadeesh K (Dr Sibasankar Padhy)/Dr. Somen/Dr. Vivekraj V K/Dr. Deepak KT/Dr Malay
CSE,6,B4,Data Analytics and Visualization/Statistics for Health Technology/Medical Image Analysis/Bioinformatics,3.0,1,0,0,4,Dr. Sunil CK/Dr. Ramesh Athe/Dr. Girish GN/Dr. Sunil Kumar PV
CSE,6,Mini Project 1,Mini Project 1,0.0,0,0,8,2,Dr. Pramod Yelmewad and Animesh Roy
CSE,8,CS499,Major-Project,0.0,0,0,32,8,Dr. Pramod Yelmewad and Dr. Animesh Roy
DSAI,2,MA163,Linear Algebra,3.0,1,0,0,2,Dr. Sibasankar Padhy
DSAI,2,CS162,Optimization,3.0,1,0,0,2,Dr. Dibyajyoti Guha
DSAI,2,CS164,Computer Architecture,3.0,1,0,0,2,Dr. Manjunath
DSAI,2,HS161,HSS / IE-Economics,3.0,0,0,0,3,Dr.Manjunath KV
DSAI,2,CS163,Data Structures & Algorithms,3.0,0,2,0,4,Dr. Sunil Saumya
DSAI,2,DS164,Data Curation Techniques,2.0,0,2,0,3,Dr. Siddharth R
DSAI,2,B1(ASD151/HS151/New/New/New/New),Introduction to Design/Introduction to Personal Finance/Introduction to Internet of Things/Concurrency and Computation/Computer Intensive Statistical Methods/Industry Insights Program Part 1,1.5,1,0,0,2,Dr. Sandesh P/Dr. Siddharth/Dr Jagadeesha Bhat/Dr. Pramod Yelmewad/Dr Ramesh Athe/Mr. Ram Subramanian & Mr. Sasi Kumar Sundara Rajan
