Course Name,Course ID,Faculty Name,Semester,L,T,P,S,C,Course Type,Basket,Department,Registered Students
,,,,,,,,,,,,
Linux for Engineers,New,Dr. Shirshendu L,2,3,1,0,0,2,elective,,CSE,
Data Science with Python,New,Dr. Abdul Wahid,2,3,1,0,0,2,elective,,CSE,
Introduction to Digital VLSI Design,New,Dr Prakash Pawar,2,3,1,0,0,2,elective,,CSE,
Photography101,New,Dr Prabhu Prasad BM,2,3,0,0,0,1,elective,,CSE,
Introduction to Holistic Personality Development,New,Prof. Chachadi and Dr. Chandrika K,2,3,0,0,0,1,elective,,CSE,
Introduction to Design,,Dr. Sandesh P,2,3,1,0,0,2,elective,B1,CSE,
Introduction to Personal Finance,,Dr. Siddharth,2,3,1,0,0,2,elective,B1,CSE,
Introduction to Internet of Things,,Dr Jagadeesha Bhat,2,3,1,0,0,2,elective,B1,CSE,
Concurrency and Computation,,Dr Pramod Y,2,3,1,0,0,2,elective,B2,CSE,
Computer Intensive Statistical Methods,,Dr Ramesh Athe,2,3,1,0,0,2,elective,B2,CSE,
Industry Insights Program Part 1,,Mr. Ram Subramanian & Mr. Sasi Kumar Sundara Rajan,2,3,1,0,0,1,elective,B2,CSE,
Data Science with Python,,Dr. Abdul Wahid,2,3,1,0,0,2,elective,B3,CSE,
Introduction to Digital VLSI Design,,Dr Prakash Pawar,2,3,1,0,0,2,elective,B3,CSE,
Industry Insights Program Part 1,,Mr. Ram Subramanian & Mr. Sasi Kumar Sundara Rajan,2,3,1,0,0,1,elective,B3,CSE,
Linux for Engineers,,Dr. Shirshendu L,2,3,1,0,0,2,elective,B4,CSE,
Introduction to Holistic Personality Development,,Prof. Chachadi and Dr. Chandrika K,2,3,0,0,0,1,elective,B4,CSE,
Industry Insights Program Part 1,,Mr. Ram Subramanian & Mr. Sasi Kumar Sundara Rajan,2,3,1,0,0,1,elective,B4,CSE,
Visual Design-PAPC,,Dr. Sandesh Phalke,2,3,1,0,0,2,elective,,CSE,
Data Science with Python,New,Dr. Abdul Wahid,2,3,1,0,0,2,elective,B3,DSAI,
Introduction to Digital VLSI Design,New,Dr Prakash Pawar,2,3,1,0,0,2,elective,B3,DSAI,
Industry Insights Program Part 1,New,Mr. Ram Subramanian & Mr. Sasi Kumar Sundara Rajan,2,3,1,0,0,1,elective,B3,DSAI,
Principles of Quantum Physics,New,Dr. Ashwath Babu & Prof. Ravi Shankar,2,,,,,2,,B3,DSAI,
Linux for Engineers,New,Dr. Shirshendu L,2,3,1,0,0,2,elective,B4,DSAI,
Photography101,New,Dr Prabhu Prasad BM,2,3,0,0,0,1,elective,B4,DSAI,
Introduction to Holistic Personality Development,New,Prof. Chachadi and Dr. Chandrika K,2,3,0,0,0,1,elective,,DSAI,
